,Model Name,Input Batch = 1 - Modified (ms),Input Batch = 1 - PyTorch (ms),Speed Up (%),Input Batch = 8 - Modified (ms),Input Batch = 8 - PyTorch (ms),Speed Up (%),Input Batch = 16 - Modified (ms),Input Batch = 16 - PyTorch (ms),Speed Up (%),Input Batch = 32 - Modified (ms),Input Batch = 32 - PyTorch (ms),Speed Up (%),Input Batch = 64 - Modified (ms),Input Batch = 64 - PyTorch (ms),Speed Up (%),Input Batch = 128 - Modified (ms),Input Batch = 128 - PyTorch (ms),Speed Up (%)
0,MobileNet V2,9.77,13.148,25.689,9.848,12.725,22.609,13.885,12.905,-7.589,24.718,22.248,-11.102,46.438,40.836,-13.717,89.325,77.263,-15.611
,,9.552,,,6.357,,,6.355,,,11.094,,,21.629,,,43.655,,
